date,close,adjclose
2024-03-04,31.19,30.4545
2024-03-05,29.52,28.8238
2024-03-06,30.07,29.356
2024-03-07,31.41,30.6644
2024-03-08,30.03,29.3218
2024-03-11,29.68,28.9801
2024-03-12,30.94,30.2104
2024-03-13,30.22,29.5073
2024-03-14,29.98,29.2681
2024-03-15,28.88,28.1989
2024-03-18,29.69,28.9947
2024-03-19,29.90,29.1949
2024-03-20,30.85,30.2312
2024-03-21,31.25,30.6231
2024-03-22,31.32,30.6868
2024-03-25,31.00,30.3733
2024-03-26,30.70,30.0891
2024-03-27,30.98,30.3537
2024-03-28,30.78,30.1626
2024-04-01,30.97,30.3488
2024-04-02,30.14,29.5354
2024-04-03,30.34,29.7314
2024-04-04,28.91,28.3301
2024-04-05,29.93,29.3296
2024-04-08,29.95,29.3492
2024-04-09,30.26,29.653
2024-04-10,29.47,28.874
2024-04-11,30.85,30.2312
2024-04-12,29.36,28.7711
2024-04-15,27.89,27.3256
2024-04-16,27.89,27.3305
2024-04-17,26.85,26.3163
2024-04-18,26.38,25.8459
2024-04-19,24.74,24.2437
2024-04-22,25.46,24.9493
2024-04-23,26.59,26.0615
2024-04-24,26.85,26.3163
2024-04-25,26.42,25.8949
2024-04-26,27.64,27.0856
2024-04-29,27.97,27.4089
2024-04-30,26.37,25.841
2024-05-01,25.80,25.2825
2024-05-02,26.75,26.2183
2024-05-03,28.35,27.7813
2024-05-06,29.28,28.6927
2024-05-07,29.28,28.6927
2024-05-08,29.23,28.6388
2024-05-09,29.39,28.7956
2024-05-10,29.58,28.9915
2024-05-13,29.78,29.1826
2024-05-14,30.33,29.7265
2024-05-15,31.74,31.0984
2024-05-16,31.54,30.9073
2024-05-17,31.47,30.8387
2024-05-20,32.12,31.4757
2024-05-21,32.28,31.6374
2024-05-22,32.26,31.6178
2024-05-23,31.78,31.1474
2024-05-24,32.67,32.0196
2024-05-28,33.03,32.3674
2024-05-29,32.34,31.6913
2024-05-30,31.30,30.6721
2024-05-31,31.26,30.6378
2024-06-03,31.57,30.9367
2024-06-04,31.81,31.167
2024-06-05,33.72,33.0485
2024-06-06,33.69,33.0093
2024-06-07,33.56,32.8868
2024-06-10,33.92,33.2347
2024-06-11,34.62,33.9207
2024-06-12,35.98,35.2583
2024-06-13,36.56,35.8217
2024-06-14,37.08,36.3411
2024-06-17,38.43,37.6591
2024-06-18,38.45,37.6787
2024-06-20,37.54,36.7919
2024-06-21,37.20,36.4538
2024-06-24,35.94,35.2191
2024-06-25,37.14,36.395
2024-06-26,37.23,36.6227
2024-06-27,37.50,36.8883
2024-06-28,36.91,36.3079
2024-07-01,37.51,36.9031
2024-07-02,38.67,38.0343
2024-07-03,39.62,38.9688
2024-07-05,40.81,40.1492
2024-07-08,41.08,40.4148
2024-07-09,41.17,40.5034
2024-07-10,42.47,41.7723
2024-07-11,39.67,39.0278
2024-07-12,40.32,39.6623
2024-07-15,40.62,39.9574
2024-07-16,40.65,39.9869
2024-07-17,37.08,36.4702
2024-07-18,36.52,35.9243
2024-07-19,35.53,34.9505
2024-07-22,37.08,36.4752
2024-07-23,36.68,36.0817
2024-07-24,32.72,32.1912
2024-07-25,31.64,31.119
2024-07-26,32.54,32.0092
2024-07-29,32.73,32.1961
2024-07-30,31.40,30.8829
2024-07-31,34.14,33.5831
2024-08-01,31.68,31.1633
2024-08-02,29.37,28.8909
2024-08-05,26.81,26.3727
2024-08-06,27.48,27.0318
2024-08-07,26.59,26.1612
2024-08-08,29.03,28.5565
2024-08-09,29.42,28.945
2024-08-12,29.63,29.1418
2024-08-13,31.78,31.2616
2024-08-14,31.83,31.3157
2024-08-15,34.23,33.6717
2024-08-16,34.32,33.7602
2024-08-19,35.65,35.0685
2024-08-20,35.43,34.8521
2024-08-21,35.92,35.3292
2024-08-22,34.19,33.6323
2024-08-23,35.26,34.6898
2024-08-26,34.23,33.6717
2024-08-27,34.52,33.9569
2024-08-28,33.35,32.806
2024-08-29,33.17,32.6339
2024-08-30,34.31,33.7454
2024-09-03,31.17,30.6665
2024-09-04,30.91,30.4058
2024-09-05,31.01,30.5042
2024-09-06,28.50,28.0302
2024-09-09,29.56,29.0729
2024-09-10,30.35,29.8549
2024-09-11,32.28,31.7584
2024-09-12,33.24,32.6978
2024-09-13,33.67,33.1257
2024-09-16,33.22,32.683
2024-09-17,33.24,32.7027
2024-09-18,32.81,32.2748
2024-09-19,35.29,34.7144
2024-09-20,35.06,34.493
2024-09-23,35.33,34.7488
2024-09-24,35.83,35.2406
2024-09-25,35.83,35.364
2024-09-26,36.60,36.114
2024-09-27,35.97,35.4923
2024-09-30,36.24,35.7686
2024-10-01,34.71,34.2538
2024-10-02,34.84,34.3821
2024-10-03,34.76,34.3031
2024-10-04,35.99,35.512
2024-10-07,34.80,34.3426
2024-10-08,36.31,35.8328
2024-10-09,37.19,36.6963
2024-10-10,37.06,36.568
2024-10-11,37.15,36.6617
2024-10-14,38.10,37.5992
2024-10-15,36.58,36.0992
2024-10-16,36.56,36.0795
2024-10-17,36.67,36.188
2024-10-18,37.32,36.8295
2024-10-21,37.53,37.0318
2024-10-22,37.63,37.1403
2024-10-23,35.90,35.4232
2024-10-24,36.75,36.267
2024-10-25,37.37,36.8788
2024-10-28,37.40,36.9134
2024-10-29,38.44,37.9348
2024-10-30,37.58,37.091
2024-10-31,34.72,34.2686
