date,close,adjclose
2024-05-13,48.60,48.6
2024-05-14,47.68,47.68
2024-05-15,45.72,45.72
2024-05-16,45.72,45.72
2024-05-17,45.32,45.32
2024-05-20,45.44,45.44
2024-05-21,44.40,44.4
2024-05-22,45.52,45.52
2024-05-23,46.12,46.12
2024-05-24,44.56,44.56
2024-05-28,45.68,45.68
2024-05-29,47.36,47.36
2024-05-30,47.28,47.28
2024-05-31,45.76,45.76
2024-06-03,45.52,45.52
2024-06-04,45.76,45.76
2024-06-05,44.84,44.84
2024-06-06,44.52,44.52
2024-06-07,44.08,44.08
2024-06-10,44.20,44.2
2024-06-11,44.16,44.16
2024-06-12,43.20,43.2
2024-06-13,43.20,43.2
2024-06-14,44.64,44.64
2024-06-17,44.32,44.32
2024-06-18,44.00,44
2024-06-20,45.56,45.56
2024-06-21,44.76,44.76
2024-06-24,44.52,44.52
2024-06-25,43.52,43.52
2024-06-26,43.08,43.08
2024-06-27,42.72,42.72
2024-06-28,43.40,43.4
2024-07-01,41.68,41.68
2024-07-02,41.16,41.16
2024-07-03,41.36,41.36
2024-07-05,41.48,41.48
2024-07-08,40.80,40.8
2024-07-09,40.80,40.8
2024-07-10,40.72,40.72
2024-07-11,40.84,40.84
2024-07-12,40.16,40.16
2024-07-15,40.96,40.96
2024-07-16,41.12,41.12
2024-07-17,42.52,42.52
2024-07-18,43.80,43.8
2024-07-19,45.72,45.72
2024-07-22,43.24,43.24
2024-07-23,42.84,42.84
2024-07-24,48.80,48.8
2024-07-25,49.20,49.2
2024-07-26,46.40,46.4
2024-07-29,45.68,45.68
2024-07-30,47.08,47.08
2024-07-31,45.80,45.8
2024-08-01,49.92,49.92
2024-08-02,61.88,61.88
2024-08-05,88.52,88.52
2024-08-06,70.36,70.36
2024-08-07,68.24,68.24
2024-08-08,62.76,62.76
2024-08-09,54.40,54.4
2024-08-12,54.20,54.2
2024-08-13,49.96,49.96
2024-08-14,46.60,46.6
2024-08-15,44.88,44.88
2024-08-16,44.84,44.84
2024-08-19,43.84,43.84
2024-08-20,45.76,45.76
2024-08-21,46.24,46.24
2024-08-22,48.32,48.32
2024-08-23,45.40,45.4
2024-08-26,45.48,45.48
2024-08-27,44.44,44.44
2024-08-28,47.00,47
2024-08-29,45.32,45.32
2024-08-30,44.00,44
2024-09-03,52.92,52.92
2024-09-04,54.04,54.04
2024-09-05,51.72,51.72
2024-09-06,55.40,55.4
2024-09-09,51.96,51.96
2024-09-10,50.96,50.96
2024-09-11,48.76,48.76
2024-09-12,48.44,48.44
2024-09-13,48.24,48.24
2024-09-16,48.56,48.56
2024-09-17,49.80,49.8
2024-09-18,49.20,49.2
2024-09-19,47.36,47.36
2024-09-20,47.04,47.04
2024-09-23,47.20,47.2
2024-09-24,47.24,47.24
2024-09-25,47.76,47.76
2024-09-26,47.80,47.8
2024-09-27,50.04,50.04
2024-09-30,49.00,49
2024-10-01,52.84,52.84
2024-10-02,52.00,52
2024-10-03,54.28,54.28
2024-10-04,52.36,52.36
2024-10-07,56.92,56.92
2024-10-08,54.64,54.64
2024-10-09,53.28,53.28
2024-10-10,54.00,54
2024-10-11,53.44,53.44
2024-10-14,51.56,51.56
2024-10-15,53.16,53.16
2024-10-16,52.68,52.68
2024-10-17,51.80,51.8
2024-10-18,50.60,50.6
2024-10-21,50.64,50.64
2024-10-22,50.52,50.52
2024-10-23,53.00,53
2024-10-24,52.12,52.12
2024-10-25,54.52,54.52
2024-10-28,52.04,52.04
2024-10-29,51.76,51.76
2024-10-30,52.96,52.96
2024-10-31,57.20,57.2
2024-11-01,56.20,56.2
2024-11-04,53.72,53.72
2024-11-05,50.88,50.88
2024-11-06,45.76,45.76
2024-11-07,44.36,44.36
2024-11-08,44.17,44.17
2024-11-11,44.07,44.07
2024-11-12,43.98,43.98
2024-11-13,42.92,42.92
2024-11-14,42.88,42.88
2024-11-15,45.87,45.87
2024-11-18,44.20,44.2
2024-11-19,45.80,45.8
2024-11-20,47.32,47.32
2024-11-21,46.97,46.97
2024-11-22,45.04,45.04
2024-11-25,43.46,43.46
2024-11-26,43.01,43.01
2024-11-27,42.82,42.82
2024-11-29,41.99,41.99
2024-12-02,41.95,41.95
2024-12-03,41.46,41.46
2024-12-04,41.71,41.71
2024-12-05,41.79,41.79
2024-12-06,41.09,41.09
2024-12-09,41.98,41.98
2024-12-10,41.92,41.92
2024-12-11,41.44,41.44
2024-12-12,41.92,41.92
2024-12-13,41.76,41.76
2024-12-16,42.61,42.61
2024-12-17,43.58,43.58
2024-12-18,50.96,50.96
2024-12-19,55.31,55.31
2024-12-20,47.03,47.03
2024-12-23,44.06,44.06
2024-12-24,41.56,41.56
2024-12-26,41.81,41.81
2024-12-27,43.81,43.81
2024-12-30,44.73,44.73
2024-12-31,45.02,45.02
2025-01-02,45.96,45.96
2025-01-03,43.49,43.49
2025-01-06,43.16,43.16
2025-01-07,45.82,45.82
2025-01-08,45.52,45.52
2025-01-10,48.65,48.65
2025-01-13,47.67,47.67
2025-01-14,46.73,46.73
2025-01-15,42.82,42.82
2025-01-16,42.90,42.9
2025-01-17,43.14,43.14
2025-01-21,41.38,41.38
2025-01-22,41.96,41.96
2025-01-23,41.18,41.18
2025-01-24,41.06,41.06
2025-01-27,43.69,43.69
2025-01-28,42.31,42.31
2025-01-29,42.03,42.03
2025-01-30,41.87,41.87
2025-01-31,43.37,43.37
2025-02-03,44.21,44.21
2025-02-04,42.99,42.99
2025-02-05,42.03,42.03
2025-02-06,41.79,41.79
2025-02-07,43.21,43.21
2025-02-10,42.11,42.11
2025-02-11,42.27,42.27
2025-02-12,42.03,42.03
2025-02-13,41.33,41.33
